"ID","VALUE","YEAR","MONTH","PERCENTAGE","CLIMATE_TYPE"
157,723777239.29,2024,1,0.08575717312075234,"NORMAL"
158,687822573.67,2024,9,0.08149706335673464,"NORMAL"
159,661500918.4399999,2024,2,0.07837832651085348,"NORMAL"
160,673899413.75,2024,6,0.07984736954097077,"NORMAL"
161,715349484.06,2024,4,0.08475860557117394,"NORMAL"
162,724806383.12,2024,5,0.08587911183449531,"NORMAL"
163,709275625.9,2024,10,0.08403894090439197,"NORMAL"
164,716259488.58,2024,8,0.08486642799349668,"NORMAL"
165,637030006.02,2024,11,0.0754788760184847,"NORMAL"
166,708547966.98,2024,12,0.08395272380804267,"NORMAL"
167,746619096.65,2024,3,0.08846360406343108,"NORMAL"
168,734956692.91,2024,7,0.0870817772771724,"NORMAL"
170,647752912.5300001,2025,2,0.07509997004295875,"NORMAL"
221,712313530.0799999,2025,9,0.08258507794470878,"NORMAL"
222,705233096.64,2025,10,0.08176417798586756,"NORMAL"
223,706716224.23,2025,11,0.08193613064779207,"NORMAL"
224,734800150.6,2025,12,0.0851921592788914,"NORMAL"
225,740593462.28,2026,1,0.25430996991388016,"NORMAL"
181,740202169.51,2025,3,0.085818465159521,"NORMAL"
182,720892754.09,2025,4,0.08357974651922175,"NORMAL"
183,735173227.1899999,2025,5,0.08523541348924035,"NORMAL"
184,706501998.6800001,2025,6,0.08191129350375732,"NORMAL"
185,759136301.08,2025,7,0.08801367368145967,"NORMAL"
261,768144060.48,2026,3,0.26377047983761276,"NORMAL"
241,643488767.72,2026,2,0.22096550603483817,"NORMAL"
1,306508236,2011,3,0.0779631380242804,"NIÑA"
2,316493844.5,2011,4,0.08050306773025387,"NIÑA"
3,334209239.8,2011,5,0.08500913851958361,"NORMAL"
4,332545451.4,2011,6,0.0845859389137094,"NORMAL"
5,355269257.1999999,2011,8,0.09036594414665962,"NORMAL"
6,345517087.70000005,2011,9,0.08788539175861655,"NORMAL"
7,333071806.3,2011,10,0.08471982203624467,"NIÑA"
8,346722139.79999995,2011,7,0.0881919076435559,"NORMAL"
9,309575438.3,2011,1,0.07874330863040822,"NIÑA"
10,278210746.7,2011,2,0.0707654160549546,"NIÑA"
11,325953950.5,2011,11,0.08290933112933044,"NIÑA"
12,347373533.09999996,2011,12,0.08835759541240265,"NIÑA"
13,384099838.09999996,2012,12,0.09191477290382724,"NORMAL"
14,339667155.90000004,2013,1,0.07623322875791232,"NORMAL"
15,316300027.9,2013,2,0.0709888252785136,"NORMAL"
16,313429263.3,2012,1,0.075003362928086,"NIÑA"
17,301226034.2,2012,2,0.07208314031885946,"NIÑA"
18,336143738.2,2012,3,0.08043891794521577,"NIÑA"
19,324239341.6,2012,4,0.07759020570555786,"NIÑA"
20,358337510.5,2012,5,0.08574986926173951,"NORMAL"
21,352740739.79999995,2012,6,0.08441056667200145,"NORMAL"
22,367671864,2012,7,0.08798357231769648,"NORMAL"
23,361773481.70000005,2012,8,0.08657209432206321,"NORMAL"
24,362578583.40000004,2012,9,0.08676475449158069,"NORMAL"
25,362675981.8,2012,10,0.08678806184797395,"NORMAL"
26,353953090.9,2012,11,0.08470068128539839,"NORMAL"
27,375399470.4,2014,1,0.07728519418812238,"NORMAL"
28,339614019.5,2014,2,0.06991788085928606,"NORMAL"
29,380588857.29999995,2014,3,0.0783535568415285,"NORMAL"
30,357161329.50000006,2013,3,0.08015953518705692,"NORMAL"
31,365460650.09999996,2013,4,0.08202219395416277,"NORMAL"
32,377300079.90000004,2013,5,0.08467937744873757,"NORMAL"
33,379032410.29999995,2013,6,0.0850681731782439,"NORMAL"
34,396873468.99999994,2013,7,0.08907233279608125,"NORMAL"
35,391145692.6,2013,8,0.08778681878334604,"NORMAL"
36,374613338.8000001,2013,9,0.08407637846772958,"NORMAL"
37,390360967.8,2013,10,0.08761069900210931,"NORMAL"
38,368507268.8,2013,11,0.08270596209677239,"NORMAL"
39,399208853.59999996,2013,12,0.08959647504933438,"NORMAL"
40,385111110.3,2014,4,0.07928457360854849,"NORMAL"
41,418722421.4,2014,5,0.08620428690093275,"NORMAL"
42,444475170.2,2015,5,0.08519596451688853,"NORMAL"
43,439194063.40000004,2015,6,0.08418369427614542,"NIÑO"
44,463102961.3,2015,7,0.08876649609207081,"NIÑO"
45,416980161.6,2014,6,0.08584559996185508,"NORMAL"
46,434582076.59999996,2014,7,0.08946938615795254,"NORMAL"
47,431979525.09999996,2014,8,0.08893358705880153,"NORMAL"
48,409967536.5,2014,9,0.08440187897832648,"NORMAL"
49,419705860.4,2014,10,0.08640675195504215,"NORMAL"
50,406370803.5,2014,11,0.08366140321779426,"NORMAL"
51,438305286.4,2014,12,0.09023590027180975,"NORMAL"
52,396871482.3,2015,1,0.07607140058820716,"NORMAL"
53,374584011.59999996,2015,2,0.07179939015830172,"NORMAL"
54,400141706.40000004,2015,3,0.07669822952054214,"NORMAL"
55,424840887.4,2015,4,0.08143251095886264,"NORMAL"
56,450902237.6,2016,6,0.08419994855806795,"NORMAL"
57,469164475.5,2016,7,0.08761017668183985,"NORMAL"
58,483477407.20000005,2016,8,0.09028292481294192,"NORMAL"
59,453001025.9000001,2015,8,0.08683018066301539,"NIÑO"
60,461555095.6,2015,9,0.08846980480289313,"NIÑO"
61,464650736.8,2015,10,0.08906317009192276,"NIÑO"
62,419794468.1,2015,11,0.08046522507104424,"NIÑO"
63,474880218.3,2015,12,0.09102393326010606,"NIÑO"
64,426024028.59999996,2016,1,0.07955427651801227,"NIÑO"
65,399553301.8,2016,2,0.07461122312639905,"NIÑO"
66,420296421.99999994,2016,3,0.07848472276363797,"NIÑO"
67,435165441.3000001,2016,4,0.08126131279972372,"NORMAL"
68,462716900.2,2016,5,0.08640617842387185,"NORMAL"
69,457663614.9,2016,9,0.08546254513304154,"NORMAL"
70,451848770.5,2016,10,0.084376700888934,"NORMAL"
71,488691806.7,2017,10,0.08732693572226122,"NORMAL"
72,457840641.00000006,2017,11,0.08181397698813901,"NORMAL"
73,498354067.7,2017,12,0.08905353648313032,"NORMAL"
74,424831161.1,2016,11,0.07933152450269472,"NORMAL"
75,473492974.20000005,2016,12,0.0884184657908351,"NORMAL"
76,420606194.5,2017,1,0.07516035588874627,"NORMAL"
77,400856736.90000004,2017,2,0.07163122036664521,"NORMAL"
78,441030994,2017,3,0.07881017184355216,"NORMAL"
79,468157852.3,2017,4,0.08365761429835317,"NORMAL"
80,477915514.5,2017,5,0.08540126280658779,"NORMAL"
81,467078497.3,2017,6,0.08346473861798727,"NORMAL"
82,491601075.29999995,2017,7,0.08784680838750308,"NORMAL"
83,490407586.59999996,2017,8,0.08763353754980695,"NORMAL"
84,493576687.59999996,2017,9,0.08819984104728762,"NORMAL"
85,521618964,2018,12,0.08847017110025776,"NIÑO"
86,502765774.5,2019,1,0.07731359864520133,"NIÑO"
87,456084754.5,2018,1,0.07735511753141333,"NORMAL"
88,409096819.59999996,2018,2,0.06938563994882532,"NORMAL"
89,470277712.20000005,2018,3,0.07976234096997244,"NORMAL"
90,478429184.40000004,2018,4,0.08114488683203776,"NORMAL"
91,490938650.09999996,2018,5,0.08326657842538979,"NORMAL"
92,505664849.50000006,2018,6,0.0857642433311744,"NIÑO"
93,530238535.09999996,2018,7,0.08993210976172834,"NIÑO"
94,532476869.8,2018,8,0.09031174675262703,"NIÑO"
95,506148202.09999996,2018,9,0.08584622326322254,"NIÑO"
96,495782951,2018,10,0.0840882052431681,"NIÑO"
97,499229341.6,2018,11,0.08467273684018327,"NIÑO"
98,472043353,2019,2,0.07258920990250718,"NIÑO"
99,519863167.3,2019,3,0.07994277714513631,"NIÑO"
100,546594652.7,2020,3,0.07815175591874189,"NORMAL"
101,540317042.4000001,2020,4,0.0772541871893459,"NORMAL"
102,573558221.7,2020,5,0.08200698987095313,"NORMAL"
103,532997339.70000005,2019,4,0.08196250518744456,"NORMAL"
104,540211968.7,2019,5,0.08307194612231081,"NORMAL"
105,540105567.9000001,2019,6,0.08305558417174863,"NORMAL"
106,582521481.0000001,2019,7,0.08957815799818784,"NORMAL"
107,586258659.6,2019,8,0.09015284852208671,"NORMAL"
108,556078531.0999999,2019,9,0.08551185173937988,"NORMAL"
109,544284603.4,2019,10,0.08369822193620735,"NORMAL"
110,554114742.9000001,2019,11,0.08520986711667966,"NORMAL"
111,571695862.8,2019,12,0.08791343151310965,"NORMAL"
112,543435040.2,2020,1,0.07769999653237018,"NORMAL"
113,538175908.7,2020,2,0.07694804925425044,"NORMAL"
114,694824432.2410002,2020,12,0.09934555555317648,"NIÑA"
115,628298050.87,2021,1,0.08382930605987342,"NORMAL"
116,544555241.3,2020,6,0.07786016217342549,"NORMAL"
117,566549394.4,2020,7,0.08100487219980414,"NORMAL"
118,569670443.5,2020,8,0.0814511178157624,"NORMAL"
119,545033389.3000001,2020,9,0.07792852747045952,"NIÑA"
120,676113220.3710002,2020,10,0.09667023837657265,"NIÑA"
121,655189286.7099997,2020,11,0.09367854764513778,"NIÑA"
122,588495063.11,2021,2,0.07851867866192082,"NORMAL"
123,575487630.26,2021,9,0.07678319011802667,"NORMAL"
124,629578987.6299999,2021,10,0.08400021227158087,"NIÑA"
125,647876268.1700001,2021,3,0.08644148728162926,"NIÑA"
126,623337002.5899999,2021,4,0.08316738894256569,"NIÑA"
127,649129818.9100001,2021,5,0.08660873957295745,"NIÑA"
128,617145172.46,2021,6,0.0823412574237431,"NORMAL"
129,657044822.8199999,2021,7,0.08766478181965504,"NORMAL"
130,631154862.31,2021,8,0.08421046993620168,"NORMAL"
131,651378724.3100001,2022,5,0.08824888202675824,"NIÑA"
132,587560794.98,2022,6,0.07960281990275972,"NORMAL"
133,607306292.5999999,2021,11,0.08102852619701367,"NIÑA"
134,640115036.14,2021,12,0.08540596171483232,"NIÑA"
135,625757658.3100001,2022,1,0.08477773636840276,"NORMAL"
136,579684079.38,2022,2,0.07853568135524414,"NORMAL"
137,652407294.7399999,2022,3,0.08838823289461076,"NIÑA"
138,620734583.6699998,2022,4,0.08409720950319613,"NIÑA"
139,648303779.1500001,2022,7,0.08783228802002116,"NORMAL"
140,625912247.8700001,2022,8,0.08479868018393413,"NORMAL"
141,591769320.6800002,2022,9,0.08017299156195738,"NORMAL"
142,607363292.55,2022,10,0.08228566508432633,"NIÑA"
143,572833358.57,2022,11,0.0776075447275083,"NIÑA"
144,617450403.9699999,2022,12,0.08365226837128092,"NIÑA"
145,720983400.05,2023,12,0.09063293710534953,"NORMAL"
146,611322797.55,2023,1,0.07684778964061181,"NORMAL"
147,642267934.0600001,2023,3,0.08073782179784705,"NORMAL"
148,678066379.47,2023,10,0.08523795072049466,"NORMAL"
149,661795117.4399999,2023,11,0.08319253293682947,"NORMAL"
150,676487527.46,2023,5,0.08503947736464339,"NORMAL"
151,698978127.56,2023,7,0.08786671186710696,"NORMAL"
152,568515110.3,2023,2,0.07146654726265185,"NORMAL"
153,659127059.14,2023,6,0.08285713830765974,"NORMAL"
154,634537556.53,2023,4,0.07976605626145812,"NORMAL"
155,697820332.06,2023,9,0.0877211684236309,"NORMAL"
156,705080843.41,2023,8,0.08863386831171652,"NORMAL"
169,710391194.27,2025,1,0.08236220382256916,"NORMAL"
201,746095108.42,2025,8,0.08650168792401222,"NORMAL"
281,759942125.61,2026,4,0.2609540442136689,"NORMAL"
